Player,Squad,Pos,PosAdj,Rol_Ideal,Rating_Final,R_FW_ST,R_FW_WG,R_FW_SS,R_DC,R_LB_OFF
Yerry Mina,Everton,DF,DF,DC,58.4,48.63999999999999,30.657000000000004,26.488000000000003,58.4,26.7975
Ben Davies,Tottenham,DF,DF,LB_OFF,58.1975,41.475,48.86899999999999,56.33200000000001,35.85,58.1975
Kurt Zouma,Chelsea,DF,DF,DC,58.190000000000005,67.27000000000001,48.149,47.965,58.190000000000005,43.2375
Ayoze Pérez,Leicester City,MFFW,AM,FW_SS,58.186,58.74,55.467,58.186,37.294999999999995,56.88999999999999
Ben Johnson,West Ham,DFFW,DF,LB_OFF,58.029999999999994,62.52000000000001,59.391999999999996,63.248000000000005,25.719999999999995,58.029999999999994
Willy Boly,Wolves,DF,DF,DC,57.99999999999999,48.115,36.32450000000001,36.12500000000001,57.99999999999999,37.02749999999999
Rayan Aït Nouri,Wolves,DF,DF,LB_OFF,57.862500000000004,63.51000000000001,70.97200000000002,73.345,22.910000000000004,57.862500000000004
Luke Thomas,Leicester City,DF,DF,LB_OFF,57.7375,67.8625,62.988,66.925,27.605000000000004,57.7375
Jacob Murphy,Newcastle Utd,DFMF,DM,LB_OFF,57.37249999999999,74.92000000000003,71.21149999999997,73.63800000000002,25.9,57.37249999999999
Christian Benteke,Crystal Palace,FW,FW,FW_ST,57.28,57.28,47.09949999999999,44.351,49.305,39.972500000000004
Davinson Sánchez,Tottenham,DF,DF,DC,57.245000000000005,33.46000000000001,24.196,24.396000000000004,57.245000000000005,31.382500000000004
Okay Yokuşlu,West Brom,MF,MF,MC_DEF,56.97,34.767500000000005,25.660499999999992,24.142000000000003,75.725,45.504999999999995
Scott McTominay,Manchester Utd,MF,MF,MC_DEF,56.69500000000001,55.7375,45.992000000000004,41.651,66.505,47.6475
Juan Mata,Manchester Utd,FWMF,AM,FW_SS,56.614000000000004,52.275,43.901500000000006,56.614000000000004,45.765,46.89249999999999
James McArthur,Crystal Palace,MF,MF,MC_DEF,56.574999999999996,31.5925,24.8115,28.256999999999998,69.705,45.975
Tariq Lamptey,Brighton,DFMF,DM,LB_OFF,56.567499999999995,76.52750000000003,67.1185,69.09199999999998,25.954999999999995,56.567499999999995
Allan,Everton,MF,MF,MC_EST,55.89,20.6975,33.523500000000006,35.431,48.38999999999999,44.8225
Nathan Redmond,Southampton,MFFW,AM,AM,55.86999999999999,47.817499999999995,50.48699999999999,52.932,46.39000000000001,57.2375
Timo Werner,Chelsea,FWMF,AM,FW_SS,55.46400000000001,70.10000000000001,55.23349999999999,55.46400000000001,18.04,33.535
Mark Noble,West Ham,MF,MF,MC_DEF,55.425,16.032500000000002,18.281499999999998,20.834,49.434999999999995,45.075
Adam Webster,Brighton,DF,DF,LB_OFF,55.3425,56.472500000000004,49.456,52.42700000000001,52.529999999999994,55.3425
Emile Smith Rowe,Arsenal,MFFW,AM,AM,55.2875,43.929999999999986,43.20399999999999,52.62399999999999,48.205,49.19500000000001
Callum Wilson,Newcastle Utd,FW,FW,FW_ST,55.150000000000006,55.150000000000006,40.42999999999999,41.954,26.25,29.5725
Benjamin Mendy,Manchester City,DF,DF,LB_OFF,55.12499999999999,66.855,73.14900000000002,75.53399999999999,11.629999999999999,55.12499999999999
Rhys Williams,Liverpool,DF,DF,DC,54.97,52.4,39.70399999999999,46.58000000000001,54.97,42.10750000000001
Chris Basham,Sheffield Utd,DFMF,DM,DC,54.91000000000001,32.4925,33.647999999999996,30.139000000000003,54.91000000000001,38.00749999999999
Jeffrey Schlupp,Crystal Palace,MF,MF,AM,54.722500000000004,75.65,63.595,61.72100000000001,27.675000000000004,43.27250000000001
Dominic Calvert-Lewin,Everton,FW,FW,FW_ST,54.7075,54.7075,38.956999999999994,34.86400000000001,43.42,30.910000000000004
Çağlar Söyüncü,Leicester City,DF,DF,DC,54.67,41.6125,41.382999999999996,41.148,54.67,49.532499999999985
