Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2019,Gastón Brugman,Parma,77.0,32.0,2.5,1155.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Morgan Schneiderlin,Nice,76.5,33.2,2.2,1387.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Ibrahima Diallo,Southampton,76.4,26.5,12.0,120.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Dejan Kulusevski,Juventus,75.9,39.7,39.0,1.7,🟢 Categoría A: Tasación de Precisión
2019,André Silva,Frankfurt,75.9,33.0,3.0,998.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Chris Smalling,Roma,75.4,32.5,15.0,117.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Emre Can,Dortmund,75.2,18.1,25.0,-27.5,🟠 Ligero Sobreprecio
2019,Bruno Fernandes,Man Utd,75.1,33.4,65.0,-48.6,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2019,Gianluca Mancini,Roma,75.0,32.7,24.0,36.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Milan Badelj,Genoa,74.9,27.6,1.9,1316.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Marc Roca,Bayern Munich,74.7,33.1,9.0,268.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Jacopo Petriccione,Crotone,74.6,29.4,1.5,1860.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Francis Coquelin,Villarreal,74.6,28.4,7.1,299.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Ridle Baku,Wolfsburg,74.4,29.6,10.0,195.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Nayef Aguerd,Stade Rennais,74.3,14.1,4.0,251.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Giovani Lo Celso,Tottenham,74.1,29.5,32.0,-7.8,🟢 Categoría A: Tasación de Precisión
2019,Erling Haaland,Dortmund,73.8,25.8,20.0,29.2,🔵 Negocio Favorable (Leve Gema)
2019,Aurélien Tchouaméni,Monaco,73.8,20.0,18.0,11.0,🟢 Categoría A: Tasación de Precisión
2019,Mauro Icardi,PSG,73.6,22.3,50.0,-55.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2019,Nicolás Otamendi,Benfica,73.6,28.6,15.0,90.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Raphinha,Leeds,73.4,23.4,18.6,25.9,🔵 Negocio Favorable (Leve Gema)
2019,Jordan Veretout,Roma,73.3,28.2,17.5,60.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Patrik Schick,Leverkusen,73.0,25.1,26.5,-5.2,🟢 Categoría A: Tasación de Precisión
2019,Gabriel Dos Santos,Arsenal,73.0,21.3,26.0,-18.1,🟠 Ligero Sobreprecio
2019,Sergio Reguilón,Tottenham,72.9,26.4,30.0,-12.1,🟢 Categoría A: Tasación de Precisión
2019,Marko Rog,Cagliari,72.9,26.1,15.0,73.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Jhon Córdoba,Hertha BSC,72.8,27.3,15.0,82.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Ivan Rakitić,Sevilla FC,72.3,22.4,3.5,541.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Pervis Estupiñán,Villarreal,72.1,26.2,16.4,59.6,💎 Categoría B: Ineficiencia Explotada (Gema)
